Lipid,Standard_ID,date,weighed_in_mg,Volume_MeOH_mL,comment
C17:0,SI_0,04.12.2019,0.2817,10,
C23:0,SI_0,04.12.2019,0.3,10,
C17:0,SI_1,04.12.2019,2.0347,10,
C23:0,SI_1,04.12.2019,2.4993,10,
C17:0,SI_2,06.01.2020,2.0394,10,
C23:0,SI_2,06.01.2020,2.4923,10,
C17:0,SI_3,17.01.2020,2.0228,10,
C23:0,SI_3,17.01.2020,2.4896,10,
C17:0,SI_4,27.01.2020,2.0139,10,
C23:0,SI_4,27.01.2020,2.5014,10,
C17:0,SI_5,03.02.2020,2.0274,10,
C23:0,SI_5,03.02.2020,2.5038,10,Plastikverschluss Messkolben
C17:0,SI_6,11.02.2020,4.0749,20,Plastikverschluss Messkolben
C23:0,SI_6,11.02.2020,4.9629,20,
C17:0,SI_7,25.05.2020,4.0158,20,
C23:0,SI_7,25.05.2020,4.1905,20,
C17:0,SI_8,24.11.2020,4.0143,20,
C23:0,SI_8,24.11.2020,3.9687,20,
