"Organism","treatment","experiment","experiment_ID","GC_ID","dry_weight_mg","Internal_Standard_Volume_ID","date_extraction","MeOH_Volume_dissolved","date.derivatisation","TMSH_Volume","Sample_Volume_derivatized","comment.x","runinfo","area","name_pufa","runname","runinfo_original","comment.y","Time","Timestamp","Date","Time_of_day"
"spider","start","M1","22","M1_T22",3.5608,"50_SI6","25.05.2020",50,"27.05.2020",10,20,"","M1 T22",132792,"12:0","PUFA-KF_28.05.2020 09_53_0951","M1 T22","             ","28.05.2020 09_53_0951","2020-05-28 09:53:09","2020-05-28"," 09:53:09"
"spider","start","M1","22","M1_T22",3.5608,"50_SI6","25.05.2020",50,"27.05.2020",10,20,"","M1 T22",191923,"15:1n-5","PUFA-KF_28.05.2020 09_53_0951","M1 T22","             ","28.05.2020 09_53_0951","2020-05-28 09:53:09","2020-05-28"," 09:53:09"
"spider","start","M1","22","M1_T22",3.5608,"50_SI6","25.05.2020",50,"27.05.2020",10,20,"","M1 T22",132020,"17:0","PUFA-KF_28.05.2020 09_53_0951","M1 T22","             ","28.05.2020 09_53_0951","2020-05-28 09:53:09","2020-05-28"," 09:53:09"
"spider","start","M1","22","M1_T22",3.5608,"50_SI6","25.05.2020",50,"27.05.2020",10,20,"","M1 T22",3368693,"17:1n-7","PUFA-KF_28.05.2020 09_53_0951","M1 T22","             ","28.05.2020 09_53_0951","2020-05-28 09:53:09","2020-05-28"," 09:53:09"
"spider","start","M1","22","M1_T22",3.5608,"50_SI6","25.05.2020",50,"27.05.2020",10,20,"","M1 T22",405737,"18:0","PUFA-KF_28.05.2020 09_53_0951","M1 T22","             ","28.05.2020 09_53_0951","2020-05-28 09:53:09","2020-05-28"," 09:53:09"
"spider","start","M1","22","M1_T22",3.5608,"50_SI6","25.05.2020",50,"27.05.2020",10,20,"","M1 T22",5912995,"18:1n-9t","PUFA-KF_28.05.2020 09_53_0951","M1 T22","             ","28.05.2020 09_53_0951","2020-05-28 09:53:09","2020-05-28"," 09:53:09"
"spider","start","M1","22","M1_T22",3.5608,"50_SI6","25.05.2020",50,"27.05.2020",10,20,"","M1 T22",32487,"18:1n-9c","PUFA-KF_28.05.2020 09_53_0951","M1 T22","             ","28.05.2020 09_53_0951","2020-05-28 09:53:09","2020-05-28"," 09:53:09"
"spider","start","M1","22","M1_T22",3.5608,"50_SI6","25.05.2020",50,"27.05.2020",10,20,"","M1 T22",5203405,"18:1n-7","PUFA-KF_28.05.2020 09_53_0951","M1 T22","             ","28.05.2020 09_53_0951","2020-05-28 09:53:09","2020-05-28"," 09:53:09"
"spider","start","M1","22","M1_T22",3.5608,"50_SI6","25.05.2020",50,"27.05.2020",10,20,"","M1 T22",4975534,"18:2n-6t","PUFA-KF_28.05.2020 09_53_0951","M1 T22","             ","28.05.2020 09_53_0951","2020-05-28 09:53:09","2020-05-28"," 09:53:09"
"spider","start","M1","22","M1_T22",3.5608,"50_SI6","25.05.2020",50,"27.05.2020",10,20,"","M1 T22",2189757,"18:2n-6c","PUFA-KF_28.05.2020 09_53_0951","M1 T22","             ","28.05.2020 09_53_0951","2020-05-28 09:53:09","2020-05-28"," 09:53:09"
"spider","start","M1","22","M1_T22",3.5608,"50_SI6","25.05.2020",50,"27.05.2020",10,20,"","M1 T22",5151786,"18:3n-3","PUFA-KF_28.05.2020 09_53_0951","M1 T22","             ","28.05.2020 09_53_0951","2020-05-28 09:53:09","2020-05-28"," 09:53:09"
"spider","start","M1","22","M1_T22",3.5608,"50_SI6","25.05.2020",50,"27.05.2020",10,20,"","M1 T22",414054,"20:0","PUFA-KF_28.05.2020 09_53_0951","M1 T22","             ","28.05.2020 09_53_0951","2020-05-28 09:53:09","2020-05-28"," 09:53:09"
"spider","start","M1","22","M1_T22",3.5608,"50_SI6","25.05.2020",50,"27.05.2020",10,20,"","M1 T22",444375,"20:1n-9","PUFA-KF_28.05.2020 09_53_0951","M1 T22","             ","28.05.2020 09_53_0951","2020-05-28 09:53:09","2020-05-28"," 09:53:09"
"spider","start","M1","22","M1_T22",3.5608,"50_SI6","25.05.2020",50,"27.05.2020",10,20,"","M1 T22",29322,"20:3n-6","PUFA-KF_28.05.2020 09_53_0951","M1 T22","             ","28.05.2020 09_53_0951","2020-05-28 09:53:09","2020-05-28"," 09:53:09"
