"Time","RT","start_RT","stop_RT","area","name_pufa","runinfo_original","runinfo","comment","runname","Timestamp","Date","Time_of_day","standard_batch"
"03.03.2020 09_30_2828",4.248,4.22333,4.36,1923709.79467,"12:0","Supelco and 2 FAME 30 microg per mL","S6 Supelco and 2 FAME","FAME 30 microg per mL         ","PUFA-KF_03.03.2020 09_30_2828","2020-03-03 09:30:28","2020-03-03"," 09:30:28","7d"
"03.03.2020 09_30_2828",4.69,4.66667,4.745,888078.87802,"13:0","Supelco and 2 FAME 30 microg per mL","S6 Supelco and 2 FAME","FAME 30 microg per mL         ","PUFA-KF_03.03.2020 09_30_2828","2020-03-03 09:30:28","2020-03-03"," 09:30:28","7d"
"03.03.2020 09_30_2828",5.185,5.15333,5.21833,1753157.82189,"14:0","Supelco and 2 FAME 30 microg per mL","S6 Supelco and 2 FAME","FAME 30 microg per mL         ","PUFA-KF_03.03.2020 09_30_2828","2020-03-03 09:30:28","2020-03-03"," 09:30:28","7d"
"03.03.2020 09_30_2828",5.722,5.69667,5.74333,817293.5094,"14:1n-5","Supelco and 2 FAME 30 microg per mL","S6 Supelco and 2 FAME","FAME 30 microg per mL         ","PUFA-KF_03.03.2020 09_30_2828","2020-03-03 09:30:28","2020-03-03"," 09:30:28","7d"
"03.03.2020 09_30_2828",6.313,6.27667,6.33667,1672339.88647,"15:0","Supelco and 2 FAME 30 microg per mL","S6 Supelco and 2 FAME","FAME 30 microg per mL         ","PUFA-KF_03.03.2020 09_30_2828","2020-03-03 09:30:28","2020-03-03"," 09:30:28","7d"
"03.03.2020 09_30_2828",6.485,6.455,6.50833,816149.72795,"15:1n-5","Supelco and 2 FAME 30 microg per mL","S6 Supelco and 2 FAME","FAME 30 microg per mL         ","PUFA-KF_03.03.2020 09_30_2828","2020-03-03 09:30:28","2020-03-03"," 09:30:28","7d"
"03.03.2020 09_30_2828",6.947,6.90667,6.99167,880397.38846,"16:0","Supelco and 2 FAME 30 microg per mL","S6 Supelco and 2 FAME","FAME 30 microg per mL         ","PUFA-KF_03.03.2020 09_30_2828","2020-03-03 09:30:28","2020-03-03"," 09:30:28","7d"
"03.03.2020 09_30_2828",7.145,7.10667,7.19,875525.83008,"16:1n-7","Supelco and 2 FAME 30 microg per mL","S6 Supelco and 2 FAME","FAME 30 microg per mL         ","PUFA-KF_03.03.2020 09_30_2828","2020-03-03 09:30:28","2020-03-03"," 09:30:28","7d"
"03.03.2020 09_30_2828",7.72,7.64333,7.74833,2875770.52798,"17:0","Supelco and 2 FAME 30 microg per mL","S6 Supelco and 2 FAME","FAME 30 microg per mL         ","PUFA-KF_03.03.2020 09_30_2828","2020-03-03 09:30:28","2020-03-03"," 09:30:28","7d"
"03.03.2020 09_30_2828",7.865,7.81833,7.89833,928497.91779,"17:1n-7","Supelco and 2 FAME 30 microg per mL","S6 Supelco and 2 FAME","FAME 30 microg per mL         ","PUFA-KF_03.03.2020 09_30_2828","2020-03-03 09:30:28","2020-03-03"," 09:30:28","7d"
"03.03.2020 09_30_2828",8.618,8.56,8.65667,958551.74038,"18:0","Supelco and 2 FAME 30 microg per mL","S6 Supelco and 2 FAME","FAME 30 microg per mL         ","PUFA-KF_03.03.2020 09_30_2828","2020-03-03 09:30:28","2020-03-03"," 09:30:28","7d"
"03.03.2020 09_30_2828",8.825,8.76667,8.86,950845.49814,"18:1n-9t","Supelco and 2 FAME 30 microg per mL","S6 Supelco and 2 FAME","FAME 30 microg per mL         ","PUFA-KF_03.03.2020 09_30_2828","2020-03-03 09:30:28","2020-03-03"," 09:30:28","7d"
"03.03.2020 09_30_2828",9.805,9.68667,9.845,2100816.37561,"18:1n-9c","Supelco and 2 FAME 30 microg per mL","S6 Supelco and 2 FAME","FAME 30 microg per mL         ","PUFA-KF_03.03.2020 09_30_2828","2020-03-03 09:30:28","2020-03-03"," 09:30:28","7d"
"03.03.2020 09_30_2828",9.948,9.845,10.00333,3125554.15835,"18:1n-7","Supelco and 2 FAME 30 microg per mL","S6 Supelco and 2 FAME","FAME 30 microg per mL         ","PUFA-KF_03.03.2020 09_30_2828","2020-03-03 09:30:28","2020-03-03"," 09:30:28","7d"
"03.03.2020 09_30_2828",10.305,10.22667,10.34167,981630.57047,"18:1n-7","Supelco and 2 FAME 30 microg per mL","S6 Supelco and 2 FAME","FAME 30 microg per mL         ","PUFA-KF_03.03.2020 09_30_2828","2020-03-03 09:30:28","2020-03-03"," 09:30:28","7d"
"03.03.2020 09_30_2828",10.39,10.34,10.435,1023957.97686,"18:2n-6c","Supelco and 2 FAME 30 microg per mL","S6 Supelco and 2 FAME","FAME 30 microg per mL         ","PUFA-KF_03.03.2020 09_30_2828","2020-03-03 09:30:28","2020-03-03"," 09:30:28","7d"
"03.03.2020 09_30_2828",10.608,10.54167,10.65333,950636.43561,"18:3n-6","Supelco and 2 FAME 30 microg per mL","S6 Supelco and 2 FAME","FAME 30 microg per mL         ","PUFA-KF_03.03.2020 09_30_2828","2020-03-03 09:30:28","2020-03-03"," 09:30:28","7d"
"03.03.2020 09_30_2828",11.037,10.94167,11.08333,1935844.46974,"18:3n-3","Supelco and 2 FAME 30 microg per mL","S6 Supelco and 2 FAME","FAME 30 microg per mL         ","PUFA-KF_03.03.2020 09_30_2828","2020-03-03 09:30:28","2020-03-03"," 09:30:28","7d"
"03.03.2020 09_30_2828",12.802,12.64333,12.855,2116287.85086,"20:0","Supelco and 2 FAME 30 microg per mL","S6 Supelco and 2 FAME","FAME 30 microg per mL         ","PUFA-KF_03.03.2020 09_30_2828","2020-03-03 09:30:28","2020-03-03"," 09:30:28","7d"
"03.03.2020 09_30_2828",12.987,12.88,13.04667,992947.18411,"20:1n-9","Supelco and 2 FAME 30 microg per mL","S6 Supelco and 2 FAME","FAME 30 microg per mL         ","PUFA-KF_03.03.2020 09_30_2828","2020-03-03 09:30:28","2020-03-03"," 09:30:28","7d"
"03.03.2020 09_30_2828",13.638,13.53333,13.70667,990612.80222,"20:2n-6","Supelco and 2 FAME 30 microg per mL","S6 Supelco and 2 FAME","FAME 30 microg per mL         ","PUFA-KF_03.03.2020 09_30_2828","2020-03-03 09:30:28","2020-03-03"," 09:30:28","7d"
"03.03.2020 09_30_2828",13.94,13.83333,13.99333,1024111.20105,"20:3n-6","Supelco and 2 FAME 30 microg per mL","S6 Supelco and 2 FAME","FAME 30 microg per mL         ","PUFA-KF_03.03.2020 09_30_2828","2020-03-03 09:30:28","2020-03-03"," 09:30:28","7d"
