ID,stream,position,trap,time,order,suborder,family,subfamily,genus,species,dry mass (mg),,
1,Isenach,up,2,2018-03-29,Diptera,Nematocera,Chironomidae,,,,0.7879,,
2,Triefenbach,down,1,2018-03-29,Diptera,Nematocera,Chironomidae,,,,0.6551,,
3,Isenach,down,1,2018-03-27,Diptera,Nematocera,Chironomidae,,,,0.9056,,
4,Otterbach,up,1,2018-03-26,Diptera,Nematocera,Chironomidae,,,,0.8876,,
5,Kropsbach,up,1,2018-03-22,Diptera,Nematocera,Chironomidae,,,,0.5833,,
6,Kaiserbach,down,1,2018-03-22,Diptera,Nematocera,Chironomidae,,,,0.2282,,
7,Triefenbach,up,1,2018-03-29,Diptera,Nematocera,Chironomidae,,,,0.161,,
9,Modenbach,up,2,2018-03-27,Diptera,Nematocera,Chironomidae,,,,0.4961,,
11,Klingbach,down,1,2018-03-26,Diptera,Nematocera,Chironomidae,,,,0.2153,,
13,Otterbach,up,2,2018-03-26,Diptera,Nematocera,Chironomidae,,,,0.0713,,
14,Kropsbach,up,2,2018-03-22,Diptera,Nematocera,Chironomidae,,,,0.1974,,
15,Kaiserbach,down,2,2018-03-22,Diptera,Nematocera,Chironomidae,,,,0.2571,,
16,Modenbach,up,2,2018-03-29,Diptera,Nematocera,Simuliidae,,,,0.625,,
17,Modenbach,up,2,2018-03-29,Diptera,Nematocera,Chironomidae,,,,0.9162,,
18,Modenbach,up,1,2018-03-27,Diptera,Nematocera,Chironomidae,,,,0.2411,,
20,Modenbach,down,1,2018-03-27,Diptera,Nematocera,Chironomidae,,,,1.281,,
23,Klingbach,down,2,2018-03-26,Diptera,Nematocera,Chironomidae,,,,0.082,,
25,Otterbach,down,1,2018-03-26,Diptera,Nematocera,Chironomidae,,,,3.2532,,
27,Kropsbach,down,1,2018-03-22,Diptera,Nematocera,Chironomidae,,,,0.8013,,
28,Hainbach,down,1,2018-03-22,Diptera,Nematocera,Chironomidae,,,,0.1002,,
29,Russbach,down,2,2018-03-22,Diptera,Nematocera,Chironomidae,,,,2.2943,,
30,Modenbach,up,1,2018-03-29,Ephemeroptera,,Baetidae,,Baetis,,2.4214,,
31,Modenbach,up,1,2018-03-29,Diptera,Nematocera,Chironomidae,,,,0.0941,,
33,Triefenbach,up,2,2018-03-29,Diptera,Nematocera,Chironomidae,,,,0.0811,,
34,Modenbach,down,2,2018-03-27,Diptera,Nematocera,Chironomidae,,,,0.8715,,
35,Triefenbach,up,2,2018-03-27,Diptera,Nematocera,Chironomidae,,,,0.8309,,
36,Kaiserbach,up,1,2018-03-26,Diptera,Nematocera,Chironomidae,,,,0.3338,,
38,Otterbach,down,2,2018-03-26,Diptera,Nematocera,Chironomidae,,,,0.7944,,
39,Otterbach,down,2,2018-03-26,Ephemeroptera,,Baetidae,,Baetis,,12.2005,,
40,Kropsbach,down,2,2018-03-22,Diptera,Nematocera,Chironomidae,,,,6.4649,,
41,Hainbach,down,2,2018-03-22,Diptera,Nematocera,Chironomidae,,,,0.0907,,
42,Otterbach,up,1,2018-03-22,Diptera,Nematocera,Chironomidae,,,,0.1482,,
43,Dierbach,up,1,2018-03-29,Diptera,Nematocera,Chironomidae,,,,0.4728,,
44,Hainbach,down,1,2018-03-29,Diptera,Nematocera,Chironomidae,,,,0.5673,,
45,Triefenbach,down,2,2018-03-29,Ephemeroptera,,Baetidae,,Baetis,,2.7944,,
