ID,stream,position,trap,time,order,suborder,family,subfamily,genus,species,number,comment,label on Eppi (y/n),same as in table,
1,Isenach,up,2,2018-03-29,Diptera,Nematocera,Chironomidae,,,,2,,,,
2,Triefenbach,down,1,2018-03-29,Diptera,Nematocera,Chironomidae,,,,3,,,,
3,Isenach,down,1,2018-03-27,Diptera,Nematocera,Chironomidae,,,,5,,,,
4,Otterbach,up,1,2018-03-26,Diptera,Nematocera,Chironomidae,,,,12,,,,
5,Kropsbach,up,1,2018-03-22,Diptera,Nematocera,Chironomidae,,,,3,,,,
6,Kaiserbach,down,1,2018-03-22,Diptera,Nematocera,Chironomidae,,,,3,,,,
7,Triefenbach,up,1,2018-03-29,Diptera,Nematocera,Chironomidae,,,,4,,,,
8,Modenbach,up,2,2018-03-27,Coleoptera,,,,,,1,,,,
9,Modenbach,up,2,2018-03-27,Diptera,Nematocera,Chironomidae,,,,5,,,,
10,Klingbach,down,1,2018-03-26,Coleoptera,,,,,,2,,,,
11,Klingbach,down,1,2018-03-26,Diptera,Nematocera,Chironomidae,,,,4,,,,
12,Klingbach,down,1,2018-03-26,Collembola,,,,,,3,Sonstige,y,y,
13,Otterbach,up,2,2018-03-26,Diptera,Nematocera,Chironomidae,,,,2,,,,
14,Kropsbach,up,2,2018-03-22,Diptera,Nematocera,Chironomidae,,,,1,,,,
15,Kaiserbach,down,2,2018-03-22,Diptera,Nematocera,Chironomidae,,,,4,,,,
16,Modenbach,up,2,2018-03-29,Diptera,Nematocera,Simuliidae,,,,1,"wahrscheinlich, Fühler abgebrochen, aber Flügel passen",,,
17,Modenbach,up,2,2018-03-29,Diptera,Nematocera,Chironomidae,,,,12,,,,
18,Modenbach,up,1,2018-03-27,Diptera,Nematocera,Chironomidae,,,,3,,,,
19,Modenbach,down,1,2018-03-27,Coleoptera,,,,,,7,,y,y,
20,Modenbach,down,1,2018-03-27,Diptera,Nematocera,Chironomidae,,,,14,,,,
21,Modenbach,down,1,2018-03-27,Diptera,Brachycera,,,,,1,,,,
22,Triefenbach,up,1,2018-03-27,Coleoptera,,,,,,1,,y,y,
23,Klingbach,down,2,2018-03-26,Diptera,Nematocera,Chironomidae,,,,1,,,,
24,Klingbach,down,2,2018-03-26,Coleoptera,,,,,,1,,y,y,
25,Otterbach,down,1,2018-03-26,Diptera,Nematocera,Chironomidae,,,,16,,,,
26,Otterbach,down,1,2018-03-26,Coleoptera,,,,,,3,,,,
27,Kropsbach,down,1,2018-03-22,Diptera,Nematocera,Chironomidae,,,,1,,,,
28,Hainbach,down,1,2018-03-22,Diptera,Nematocera,Chironomidae,,,,1,,,,
29,Russbach,down,2,2018-03-22,Diptera,Nematocera,Chironomidae,,,,7,,,,
30,Modenbach,up,1,2018-03-29,Ephemeroptera,,Baetidae,,Baetis,,1,,,,
