Site,Date,Variable,Direction,Qualifier,Value,Unit,Comment
Russbach up,20/08/2018,min_width,,,37,cm,
Russbach up,20/08/2018,max_width,,,83,cm,
Russbach up,20/08/2018,width_1,,,47,cm,
Russbach up,20/08/2018,width_2,,,77,cm,
Russbach up,20/08/2018,width_3,,,60,cm,
Russbach up,20/08/2018,depth_1,,,7,cm,
Russbach up,20/08/2018,depth_2,,,3,cm,
Russbach up,20/08/2018,depth_3,,,10,cm,
Russbach up,20/08/2018,riffels in reach (50m),,,50,%,
Russbach up,20/08/2018,pools in reach (50m),,,50,%,uferbänke
Russbach up,20/08/2018,Banks,,,several,,
Russbach up,20/08/2018,Shading Elements (southwards),,,85,%,
Russbach up,20/08/2018,Flooding of shore,,,yes,,
Russbach up,20/08/2018,Islands/Banks,,,several,,
Russbach up,20/08/2018,comments,,,Stream became narower and deeper after the last rain fall event,,
Russbach down,20/08/2018,min_width,,,88,cm,
Russbach down,20/08/2018,max_width,,,132,cm,
Russbach down,20/08/2018,width_1,,,110,cm,
Russbach down,20/08/2018,width_2,,,95,cm,
Russbach down,20/08/2018,width_3,,,119,cm,
Russbach down,20/08/2018,depth_1,,,7,cm,
Russbach down,20/08/2018,depth_2,,,5,cm,
Russbach down,20/08/2018,depth_3,,,5,cm,
Russbach down,20/08/2018,riffels in reach (50m),,,60,%,
Russbach down,20/08/2018,pools in reach (50m),,,40,%,
Russbach down,20/08/2018,Banks,,,rudiment,,
Russbach down,20/08/2018,Shading Elements (southwards),,,70,%,
Russbach down,20/08/2018,Flooding of shore,,,no,,
Russbach down,20/08/2018,Islands/Banks,,,no,,
Russbach down,20/08/2018,comments,,,NA,,
Otterbach up,20/08/2018,min_width,,,100,cm,
Otterbach up,20/08/2018,max_width,,,150,cm,
Otterbach up,20/08/2018,width_1,,,110,cm,
Otterbach up,20/08/2018,width_2,,,110,cm,
Otterbach up,20/08/2018,width_3,,,120,cm,
Otterbach up,20/08/2018,depth_1,,,8,cm,
Otterbach up,20/08/2018,depth_2,,,6,cm,
Otterbach up,20/08/2018,depth_3,,,7,cm,
Otterbach up,20/08/2018,riffels in reach (50m),,,80,%,
Otterbach up,20/08/2018,pools in reach (50m),,,20,%,
Otterbach up,20/08/2018,Banks,,,one,,Krümmungsbank
Otterbach up,20/08/2018,Shading Elements (southwards),,,60,%,
Otterbach up,20/08/2018,Flooding of shore,,,no,,
Otterbach up,20/08/2018,Islands/Banks,,,one,,
Otterbach up,20/08/2018,comments,,,NA,,
Otterbach down,20/08/2018,min_width,,,140,cm,
Otterbach down,20/08/2018,max_width,,,165,cm,
Otterbach down,20/08/2018,width_1,,,142,cm,
Otterbach down,20/08/2018,width_2,,,146,cm,
Otterbach down,20/08/2018,width_3,,,161,cm,
Otterbach down,20/08/2018,depth_1,,,15,cm,
Otterbach down,20/08/2018,depth_2,,,11,cm,
Otterbach down,20/08/2018,depth_3,,,9,cm,
Otterbach down,20/08/2018,riffels in reach (50m),,,80,%,
Otterbach down,20/08/2018,pools in reach (50m),,,20,%,
Otterbach down,20/08/2018,Banks,,,several,,uferbänke
Otterbach down,20/08/2018,Shading Elements (southwards),,,90,%,
Otterbach down,20/08/2018,Flooding of shore,,,yes,,
Otterbach down,20/08/2018,Islands/Banks,,,one,,
Otterbach down,20/08/2018,comments,,,NA,,
Dierbach down,20/08/2018,min_width,,,40,cm,
Dierbach down,20/08/2018,max_width,,,60,cm,
Dierbach down,20/08/2018,width_1,,,55,cm,
Dierbach down,20/08/2018,width_2,,,50,cm,
Dierbach down,20/08/2018,width_3,,,50,cm,
Dierbach down,20/08/2018,depth_1,,,5,cm,
Dierbach down,20/08/2018,depth_2,,,3,cm,
Dierbach down,20/08/2018,depth_3,,,3,cm,
Dierbach down,20/08/2018,riffels in reach (50m),,,60,%,
Dierbach down,20/08/2018,pools in reach (50m),,,40,%,
Dierbach down,20/08/2018,Banks,,,two,,Krümmungsbank
Dierbach down,20/08/2018,Shading Elements (southwards),,,50,%,
Dierbach down,20/08/2018,Flooding of shore,,,no,,
Dierbach down,20/08/2018,Islands/Banks,,,no,,
Dierbach down,20/08/2018,comments,,,NA,,
Dierbach up,20/08/2018,min_width,,,28,cm,
Dierbach up,20/08/2018,max_width,,,68,cm,
Dierbach up,20/08/2018,width_1,,,51,cm,
Dierbach up,20/08/2018,width_2,,,46,cm,
Dierbach up,20/08/2018,width_3,,,53,cm,
Dierbach up,20/08/2018,depth_1,,,5,cm,
Dierbach up,20/08/2018,depth_2,,,3,cm,
Dierbach up,20/08/2018,depth_3,,,2,cm,
Dierbach up,20/08/2018,riffels in reach (50m),,,80,%,
Dierbach up,20/08/2018,pools in reach (50m),,,20,%,
Dierbach up,20/08/2018,Banks,,,a lot,,Krümmungsbank
Dierbach up,20/08/2018,Shading Elements (southwards),,,80,%,
Dierbach up,20/08/2018,Flooding of shore,,,no,,
Dierbach up,20/08/2018,Islands/Banks,,,several,,
Dierbach up,20/08/2018,comments,,,NA,,
Klingbach up,20/08/2018,min_width,,,200,cm,
Klingbach up,20/08/2018,max_width,,,276,cm,
Klingbach up,20/08/2018,width_1,,,235,cm,
Klingbach up,20/08/2018,width_2,,,200,cm,
Klingbach up,20/08/2018,width_3,,,230,cm,
Klingbach up,20/08/2018,depth_1,,,8,cm,
Klingbach up,20/08/2018,depth_2,,,7,cm,
Klingbach up,20/08/2018,depth_3,,,11,cm,
Klingbach up,20/08/2018,riffels in reach (50m),,,70,%,
Klingbach up,20/08/2018,pools in reach (50m),,,30,%,
Klingbach up,20/08/2018,Banks,,,several,,uferbänke
Klingbach up,20/08/2018,Shading Elements (southwards),,,80,%,
Klingbach up,20/08/2018,Flooding of shore,,,no,,
Klingbach up,20/08/2018,Islands/Banks,,,no,,
Klingbach up,20/08/2018,comments,,,NA,,
Klingbach down,20/08/2018,min_width,,,187,cm,
Klingbach down,20/08/2018,max_width,,,255,cm,
Klingbach down,20/08/2018,width_1,,,232,cm,
Klingbach down,20/08/2018,width_2,,,250,cm,
Klingbach down,20/08/2018,width_3,,,255,cm,
Klingbach down,20/08/2018,depth_1,,,8,cm,
Klingbach down,20/08/2018,depth_2,,,10,cm,
Klingbach down,20/08/2018,depth_3,,,10,cm,
Klingbach down,20/08/2018,riffels in reach (50m),,,70,%,
Klingbach down,20/08/2018,pools in reach (50m),,,30,%,
Klingbach down,20/08/2018,Banks,,,several,,uferbänke
Klingbach down,20/08/2018,Shading Elements (southwards),,,60,%,
Klingbach down,20/08/2018,Flooding of shore,,,no,,
Klingbach down,20/08/2018,Islands/Banks,,,no,,
Klingbach down,20/08/2018,comments,,,NA,,
Kaiserbach down,20/08/2018,min_width,,,160,cm,
Kaiserbach down,20/08/2018,max_width,,,190,cm,
Kaiserbach down,20/08/2018,width_1,,,180,cm,
Kaiserbach down,20/08/2018,width_2,,,176,cm,
Kaiserbach down,20/08/2018,width_3,,,178,cm,
Kaiserbach down,20/08/2018,depth_1,,,31,cm,
Kaiserbach down,20/08/2018,depth_2,,,31,cm,
Kaiserbach down,20/08/2018,depth_3,,,28,cm,
Kaiserbach down,20/08/2018,riffels in reach (50m),,,30,%,
Kaiserbach down,20/08/2018,pools in reach (50m),,,70,%,
Kaiserbach down,20/08/2018,Banks,,,one,,uferbänke
Kaiserbach down,20/08/2018,Shading Elements (southwards),,,80,%,
Kaiserbach down,20/08/2018,Flooding of shore,,,no,,
Kaiserbach down,20/08/2018,Islands/Banks,,,no,,
