Site,Date,Variable,Qualifier,Value,Unit,Comment,Site UFZ,
Grünbach,20/06/2018,Weather,,sunny,,,BW_Grün,
Grünbach,20/06/2018,time,,08:00,hh:mm,,BW_Grün,
Grünbach,20/06/2018,water temperature,,17.8,°C,,BW_Grün,
Grünbach,20/06/2018,air temperature,,19.5,°C,,BW_Grün,
Grünbach,20/06/2018,pH,,7.82,,,BW_Grün,
Grünbach,20/06/2018,conductivity,,311,uS/cm,,BW_Grün,
Grünbach,20/06/2018,Dissolved Oxygen,,93,%,,BW_Grün,
Grünbach,20/06/2018,Dissolved Oxygen,,8.89,mg/L,,BW_Grün,
Grünbach,20/06/2018,NO2,,0.001,mg/L,,BW_Grün,
Grünbach,20/06/2018,NO3,,1.8,mg/L,,BW_Grün,
Grünbach,20/06/2018,PO4,,0.6,mg/L,,BW_Grün,
Grünbach,20/06/2018,NH4,<,0.1,mg/L,,BW_Grün,
Grünbach,20/06/2018,Cl,,22,mg/L,,BW_Grün,
Grünbach,20/06/2018,SO4,<,20,mg/L,,BW_Grün,
Grünbach,20/06/2018,Cu,<,0.1,mg/L,,BW_Grün,
Grünbach,20/06/2018,Flow 1,,0.21,m/sec,,BW_Grün,
Grünbach,20/06/2018,Flow 2,,0.22,m/sec,,BW_Grün,
Grünbach,20/06/2018,Flow 3,,0.13,m/sec,,BW_Grün,
Grünbach,20/06/2018,Flow UFZ,,0.2,m/sec,,BW_Grün,
Russbach up,20/06/2018,Weather,,sunny,,,RP_Russ_R,
Russbach up,20/06/2018,time,,09:45,hh:mm,,RP_Russ_R,
Russbach up,20/06/2018,water temperature,,13.1,°C,,RP_Russ_R,
Russbach up,20/06/2018,air temperature,,18.6,°C,,RP_Russ_R,
Russbach up,20/06/2018,pH,,7.26,,,RP_Russ_R,
Russbach up,20/06/2018,conductivity,,122,uS/cm,,RP_Russ_R,
Russbach up,20/06/2018,Dissolved Oxygen,,10.24,%,,RP_Russ_R,
Russbach up,20/06/2018,Dissolved Oxygen,,10.72,mg/L,,RP_Russ_R,
Russbach up,20/06/2018,NO2,,0.01,mg/L,,RP_Russ_R,
Russbach up,20/06/2018,NO3,,2.3,mg/L,,RP_Russ_R,
Russbach up,20/06/2018,PO4,,1.2,mg/L,,RP_Russ_R,
Russbach up,20/06/2018,NH4,<,0.1,mg/L,,RP_Russ_R,
Russbach up,20/06/2018,Cl,,5,mg/L,,RP_Russ_R,
Russbach up,20/06/2018,SO4,<,20,mg/L,,RP_Russ_R,
Russbach up,20/06/2018,Cu,<,0.1,mg/L,,RP_Russ_R,
Russbach up,20/06/2018,Flow 1,,0.26,m/sec,,RP_Russ_R,
Russbach up,20/06/2018,Flow 2,,0.26,m/sec,,RP_Russ_R,
Russbach up,20/06/2018,Flow 3,,0.21,m/sec,,RP_Russ_R,
