"Organism","treatment","experiment","experiment_ID","name_pufa","runinfo","runinfo_original","runname","dry_pufa","dry_weight_mg"
"spider","start","M1","22","18:0","M1 T22","M1 T22","PUFA-KF_28.05.2020 09_53_0951",0,3.5608
"spider","start","M1","22","18:1n-9t","M1 T22","M1 T22","PUFA-KF_28.05.2020 09_53_0951",0.00237732989992208,3.5608
"spider","start","M1","22","18:1n-9c","M1 T22","M1 T22","PUFA-KF_28.05.2020 09_53_0951",0,3.5608
"spider","start","M1","22","18:1n-7","M1 T22","M1 T22","PUFA-KF_28.05.2020 09_53_0951",0.000937992403999421,3.5608
"spider","start","M1","22","18:2n-6t","M1 T22","M1 T22","PUFA-KF_28.05.2020 09_53_0951",0.000611915285340314,3.5608
"spider","start","M1","22","18:2n-6c","M1 T22","M1 T22","PUFA-KF_28.05.2020 09_53_0951",0.000805275719233545,3.5608
"spider","start","M1","22","18:3n-3","M1 T22","M1 T22","PUFA-KF_28.05.2020 09_53_0951",0.00442284872568758,3.5608
"spider","start","M1","22","20:0","M1 T22","M1 T22","PUFA-KF_28.05.2020 09_53_0951",0.000172578930194279,3.5608
"spider","start","M1","22","20:1n-9","M1 T22","M1 T22","PUFA-KF_28.05.2020 09_53_0951",8.0651030494455e-05,3.5608
"spider","start","M1","22","20:3n-6","M1 T22","M1 T22","PUFA-KF_28.05.2020 09_53_0951",0,3.5608
"spider","start","M1","22","20:4n-6","M1 T22","M1 T22","PUFA-KF_28.05.2020 09_53_0951",0.000509886070948218,3.5608
"spider","start","M1","22","20:5n-3","M1 T22","M1 T22","PUFA-KF_28.05.2020 09_53_0951",0.000847181174809105,3.5608
"spider","start","M1","22","22:0","M1 T22","M1 T22","PUFA-KF_28.05.2020 09_53_0951",0.000215451250755305,3.5608
"spider","start","M1","22","22:6n-3","M1 T22","M1 T22","PUFA-KF_28.05.2020 09_53_0951",0,3.5608
"spider","start","M1","21","18:0","M1 T21","M1 T21","PUFA-KF_28.05.2020 02_27_0443",0.00184303729244416,3.6708
"spider","start","M1","21","18:1n-9t","M1 T21","M1 T21","PUFA-KF_28.05.2020 02_27_0443",0.00237846798799232,3.6708
"spider","start","M1","21","18:1n-9c","M1 T21","M1 T21","PUFA-KF_28.05.2020 02_27_0443",0,3.6708
"spider","start","M1","21","18:1n-7","M1 T21","M1 T21","PUFA-KF_28.05.2020 02_27_0443",0.00205072889166292,3.6708
"spider","start","M1","21","18:2n-6t","M1 T21","M1 T21","PUFA-KF_28.05.2020 02_27_0443",0.00153650481149617,3.6708
"spider","start","M1","21","18:2n-6c","M1 T21","M1 T21","PUFA-KF_28.05.2020 02_27_0443",0.000825605631053242,3.6708
"spider","start","M1","21","18:3n-3","M1 T21","M1 T21","PUFA-KF_28.05.2020 02_27_0443",0.00660245337516621,3.6708
"spider","start","M1","21","20:0","M1 T21","M1 T21","PUFA-KF_28.05.2020 02_27_0443",0,3.6708
"spider","start","M1","21","20:1n-9","M1 T21","M1 T21","PUFA-KF_28.05.2020 02_27_0443",3.07813709605838e-05,3.6708
"spider","start","M1","21","20:2n-6","M1 T21","M1 T21","PUFA-KF_28.05.2020 02_27_0443",0.000366714577587179,3.6708
"spider","start","M1","21","20:3n-6","M1 T21","M1 T21","PUFA-KF_28.05.2020 02_27_0443",0,3.6708
"spider","start","M1","21","20:4n-6","M1 T21","M1 T21","PUFA-KF_28.05.2020 02_27_0443",0.000435419154252854,3.6708
"spider","start","M1","21","20:3n-3","M1 T21","M1 T21","PUFA-KF_28.05.2020 02_27_0443",0,3.6708
"spider","start","M1","21","20:5n-3","M1 T21","M1 T21","PUFA-KF_28.05.2020 02_27_0443",0.000947317467806953,3.6708
"spider","start","M1","21","22:0","M1 T21","M1 T21","PUFA-KF_28.05.2020 02_27_0443",0.00021316969083312,3.6708
"spider","start","M1","21","22:2n-6","M1 T21","M1 T21","PUFA-KF_28.05.2020 02_27_0443",8.92646029187931e-05,3.6708
"spider","start","M1","21","24:0","M1 T21","M1 T21","PUFA-KF_28.05.2020 02_27_0443",9.34541111235344e-05,3.6708
"spider","start","M1","21","24:1n-9","M1 T21","M1 T21","PUFA-KF_28.05.2020 02_27_0443",5.89724064899191e-05,3.6708
"spider","start","M1","65","18:0","M1 T65","M1 T65","PUFA-KF_27.05.2020 03_13_4518",0.0013376190546267,5.0573
"spider","start","M1","65","18:1n-9t","M1 T65","M1 T65","PUFA-KF_27.05.2020 03_13_4518",0.00164715977068989,5.0573
"spider","start","M1","65","18:1n-9c","M1 T65","M1 T65","PUFA-KF_27.05.2020 03_13_4518",0.000349692714474334,5.0573
"spider","start","M1","65","18:1n-7","M1 T65","M1 T65","PUFA-KF_27.05.2020 03_13_4518",0.00254184623939167,5.0573
"spider","start","M1","65","18:2n-6t","M1 T65","M1 T65","PUFA-KF_27.05.2020 03_13_4518",0.00114657439096683,5.0573
"spider","start","M1","65","18:2n-6c","M1 T65","M1 T65","PUFA-KF_27.05.2020 03_13_4518",0.000442544774119126,5.0573
