Organism,treatment,experiment,spider_ID_experiment_ID,experiment_ID,spider_ID,picture,encapsulated_area_mm_2,length_mm,width_mm,comment,done by 
spider,oatmeal,M2,228_oatmeal_18,oatmeal_18,228,A,0.188,1.228,0.144,,MS
spider,oatmeal,M2,228_oatmeal_18,oatmeal_18,228,B,0.181,1.184,0.136,,MS
spider,oatmeal,M2,228_oatmeal_18,oatmeal_18,228,C,0.209,1.185,0.145,,MS
spider,leaves,M2,227_leaves_14,leaves_14,227,A,0.194,1.369,0.132,,MS
spider,leaves,M2,227_leaves_14,leaves_14,227,B,0.181,1.295,0.132,,MS
spider,leaves,M2,227_leaves_14,leaves_14,227,C,0.179,1.291,0.127,,MS
spider,start,M2,,225,225,A,0.181,1.330,0.129,,MS
spider,start,M2,,225,225,B,0.198,1.314,0.134,,MS
spider,start,M2,,225,225,C,0.216,1.422,0.132,,MS
spider,oatmeal,M2,223_oatmeal_16,oatmeal_16,223,A,0.189,1.421,0.132,,MS
spider,oatmeal,M2,223_oatmeal_16,oatmeal_16,223,B,0.198,1.420,0.135,,MS
spider,oatmeal,M2,223_oatmeal_16,oatmeal_16,223,C,0.191,1.410,0.135,,MS
spider,oatmeal,M2,221_oatmeal_1,oatmeal_1,221,A,0.124,0.926,0.127,,MS
spider,oatmeal,M2,221_oatmeal_1,oatmeal_1,221,B,0.132,0.957,0.131,,MS
spider,oatmeal,M2,221_oatmeal_1,oatmeal_1,221,C,0.13,0.927,0.133,,MS
spider,leaves,M2,220_leaves_13,leaves_13,220,A,0.145,1.063,0.131,,MS
spider,leaves,M2,220_leaves_13,leaves_13,220,B,0.158,1.149,0.135,,MS
spider,leaves,M2,220_leaves_13,leaves_13,220,C,0.166,1.153,0.139,,MS
spider,fishfood,M2,219_fishfood_3,fishfood_3,219,A,0.139,1.065,0.132,,MS
spider,fishfood,M2,219_fishfood_3,fishfood_3,219,B,0.157,1.114,0.137,,MS
spider,fishfood,M2,219_fishfood_3,fishfood_3,219,C,0.153,1.064,0.131,,MS
spider,oatmeal,M2,218_oatmeal_2,oatmeal_2,218,A,0.134,0.954,0.133,,MS
spider,oatmeal,M2,218_oatmeal_2,oatmeal_2,218,B,0.156,0.979,0.132,,MS
spider,oatmeal,M2,218_oatmeal_2,oatmeal_2,218,C,0.133,0.976,0.133,,MS
spider,oatmeal,M2,217_oatmeal_19,oatmeal_19,217,A,0.146,0.989,0.141,,MS
spider,oatmeal,M2,217_oatmeal_19,oatmeal_19,217,B,0.152,1.076,0.139,,MS
spider,oatmeal,M2,217_oatmeal_19,oatmeal_19,217,C,0.159,1.068,0.135,,MS
spider,start,M2,,216,216,A,0.331,2.417,0.131,,MS
spider,start,M2,,216,216,B,0.339,2.366,0.132,,MS
spider,start,M2,,216,216,C,0.342,2.423,0.137,,MS
spider,start,M2,,215,215,A,0.185,1.330,0.135,keine Encapsulation?,MS
spider,start,M2,,215,215,B,0.187,1.348,0.134,keine Encapsulation?,MS
spider,start,M2,,215,215,C,0.183,1.346,0.129,keine Encapsulation?,MS
spider,fishfood,M2,213_fishfood_8,fishfood_8,213,A,0.154,1.094,0.134,,MS
spider,fishfood,M2,213_fishfood_8,fishfood_8,213,B,0.153,1.117,0.131,,MS
spider,fishfood,M2,213_fishfood_8,fishfood_8,213,C,0.149,1.150,0.13,,MS
spider,fishfood,M2,212_fishfood_15,fishfood_15,212,A,0.131,0.909,0.136,"Faden vmtl. nicht komplett in Spinne gewesen, Grenze festgelegt",MS
spider,fishfood,M2,212_fishfood_15,fishfood_15,212,B,0.134,0.933,0.139,"Faden vmtl. nicht komplett in Spinne gewesen, Grenze festgelegt",MS
spider,fishfood,M2,212_fishfood_15,fishfood_15,212,C,0.13,0.875,0.13,"Faden vmtl. nicht komplett in Spinne gewesen, Grenze festgelegt",MS
spider,leaves,M2,211_leaves_15,leaves_15,211,A,0.264,1.877,0.133,,MS
