Organism,treatment,experiment,experiment_ID,original_spider_ID,replace_spider_1,date_replacement_1,replace_spider_2,date_replacement_2,date_treatment_ended,dead_not_found_encapsulation,comment
spider,start,M1,21,21,NA,NA,NA,NA,29.04.2019,e,
spider,start,M1,22,22,NA,NA,NA,NA,29.04.2019,e,
spider,start,M1,24,24,NA,NA,NA,NA,29.04.2019,e,
spider,start,M1,38,38,NA,NA,NA,NA,29.04.2019,e,
spider,start,M1,39,39,NA,NA,NA,NA,29.04.2019,e,
spider,start,M1,44,44,NA,NA,NA,NA,29.04.2019,e,
spider,start,M1,48,48,NA,NA,NA,NA,29.04.2019,e,
spider,start,M1,49,49,NA,NA,NA,NA,29.04.2019,e,
spider,start,M1,59,59,NA,NA,NA,NA,29.04.2019,e,
spider,start,M1,63,63,NA,NA,NA,NA,29.04.2019,e,
spider,start,M1,65,65,NA,NA,NA,NA,29.04.2019,e,
spider,start,M1,70,70,NA,NA,NA,NA,29.04.2019,e,
spider,start,M1,74,74,NA,NA,NA,NA,29.04.2019,e,
spider,start,M1,78,78,NA,NA,NA,NA,29.04.2019,e,
spider,start,M1,79,79,NA,NA,NA,NA,29.04.2019,e,
spider,start,M1,81,81,NA,NA,NA,NA,29.04.2019,e,
spider,start,M1,86,86,NA,NA,NA,NA,29.04.2019,e,
spider,start,M1,106,106,NA,NA,NA,NA,29.04.2019,e,
spider,start,M1,111,111,NA,NA,NA,NA,29.04.2019,e,
spider,start,M1,115,115,NA,NA,NA,NA,29.04.2019,e,
spider,oatmeal,M1,oatmeal_1,27,126,07.05.2019,NA,NA,22.05.2019,e,
spider,oatmeal,M1,oatmeal_2,85,NA,NA,NA,NA,12.06.2019,e,
spider,oatmeal,M1,oatmeal_3,42,NA,NA,NA,NA,29.05.2019,nf,
spider,oatmeal,M1,oatmeal_4,83,NA,NA,NA,NA,12.06.2019,e,
spider,oatmeal,M1,oatmeal_5,54,123,07.05.2019,NA,NA,22.05.2019,d,
spider,oatmeal,M1,oatmeal_6,94,NA,NA,NA,NA,29.05.2019,d,
spider,oatmeal,M1,oatmeal_7,80,NA,NA,NA,NA,05.06.2019,d,
spider,oatmeal,M1,oatmeal_8,72,NA,NA,NA,NA,12.06.2019,e,
spider,oatmeal,M1,oatmeal_9,36,NA,NA,NA,NA,22.05.2019,e,
spider,oatmeal,M1,oatmeal_10,60,NA,NA,NA,NA,22.05.2019,e,
spider,oatmeal,M1,oatmeal_11,57,NA,NA,NA,NA,12.06.2019,e,not found at 06.06.2019
spider,oatmeal,M1,oatmeal_12,73,NA,NA,NA,NA,22.05.2019,e,
spider,oatmeal,M1,oatmeal_13,113,NA,NA,NA,NA,29.05.2019,nf,
spider,oatmeal,M1,oatmeal_14,66,NA,NA,NA,NA,22.05.2019,nf,
spider,oatmeal,M1,oatmeal_15,99,NA,NA,NA,NA,15.05.2019,d,
spider,oatmeal,M1,oatmeal_16,68,NA,NA,NA,NA,22.05.2019,e,
spider,oatmeal,M1,oatmeal_17,46,NA,NA,NA,NA,05.06.2019,nf,
spider,oatmeal,M1,oatmeal_18,96,NA,NA,NA,NA,12.06.2019,e,
spider,oatmeal,M1,oatmeal_19,56,NA,NA,NA,NA,22.05.2019,d,
spider,oatmeal,M1,oatmeal_20,90,NA,NA,NA,NA,12.06.2019,e,
spider,fishfood,M1,fishfood_1,93,NA,NA,NA,NA,22.05.2019,d,
