Anz.,Datum Zeit,Temp
1,04.30.19 10:12:21 AM,23.388
2,04.30.19 10:12:26 AM,
3,04.30.19 10:27:21 AM,23.292
4,04.30.19 10:42:21 AM,22.142
5,04.30.19 10:57:21 AM,22.238
6,04.30.19 11:12:21 AM,18.236
7,04.30.19 11:27:21 AM,20.996
8,04.30.19 11:42:21 AM,21.473
9,04.30.19 11:57:21 AM,25.805
10,04.30.19 12:12:21 PM,30.255
11,04.30.19 12:27:21 PM,32.6
12,04.30.19 12:42:21 PM,34.903
13,04.30.19 12:57:21 PM,31.574
14,04.30.19 01:12:21 PM,34.058
15,04.30.19 01:27:21 PM,35.971
16,04.30.19 01:42:21 PM,35.435
17,04.30.19 01:57:21 PM,35.756
18,04.30.19 02:12:21 PM,33.639
19,04.30.19 02:27:21 PM,32.497
20,04.30.19 02:42:21 PM,31.983
21,04.30.19 02:57:21 PM,31.574
22,04.30.19 03:12:21 PM,31.166
23,04.30.19 03:27:21 PM,30.356
24,04.30.19 03:42:21 PM,30.154
25,04.30.19 03:57:21 PM,29.252
26,04.30.19 04:12:21 PM,28.258
27,04.30.19 04:27:21 PM,28.754
28,04.30.19 04:42:21 PM,29.853
29,04.30.19 04:57:21 PM,33.326
30,04.30.19 05:12:21 PM,33.535
31,04.30.19 05:27:21 PM,32.291
32,04.30.19 05:42:21 PM,31.37
33,04.30.19 05:57:21 PM,31.064
34,04.30.19 06:12:21 PM,29.152
35,04.30.19 06:27:21 PM,26
36,04.30.19 06:42:21 PM,19.567
37,04.30.19 06:57:21 PM,17.284
38,04.30.19 07:12:21 PM,16.332
39,04.30.19 07:27:21 PM,15.378
40,04.30.19 07:42:21 PM,14.421
41,04.30.19 07:57:21 PM,13.654
42,04.30.19 08:12:21 PM,12.98
43,04.30.19 08:27:21 PM,12.304
44,04.30.19 08:42:21 PM,11.916
45,04.30.19 08:57:21 PM,11.431
46,04.30.19 09:12:21 PM,10.748
47,04.30.19 09:27:21 PM,10.259
48,04.30.19 09:42:21 PM,9.965
49,04.30.19 09:57:21 PM,9.669
50,04.30.19 10:12:21 PM,9.472
51,04.30.19 10:27:21 PM,10.259
52,04.30.19 10:42:21 PM,10.553
53,04.30.19 10:57:21 PM,10.553
54,04.30.19 11:12:21 PM,10.161
55,04.30.19 11:27:21 PM,9.373
56,04.30.19 11:42:21 PM,8.779
57,04.30.19 11:57:21 PM,8.282
58,05.01.19 12:12:21 AM,8.182
59,05.01.19 12:27:21 AM,8.382
60,05.01.19 12:42:21 AM,8.879
61,05.01.19 12:57:21 AM,8.779
62,05.01.19 01:12:21 AM,8.481
63,05.01.19 01:27:21 AM,8.282
64,05.01.19 01:42:21 AM,7.882
65,05.01.19 01:57:21 AM,7.582
66,05.01.19 02:12:21 AM,7.481
67,05.01.19 02:27:21 AM,7.179
68,05.01.19 02:42:21 AM,6.978
69,05.01.19 02:57:21 AM,6.877
70,05.01.19 03:12:21 AM,6.674
71,05.01.19 03:27:21 AM,6.674
72,05.01.19 03:42:21 AM,6.573
73,05.01.19 03:57:21 AM,6.471
74,05.01.19 04:12:21 AM,6.37
75,05.01.19 04:27:21 AM,6.268
76,05.01.19 04:42:21 AM,6.268
77,05.01.19 04:57:21 AM,6.064
78,05.01.19 05:12:21 AM,5.962
79,05.01.19 05:27:21 AM,5.86
80,05.01.19 05:42:21 AM,5.86
81,05.01.19 05:57:21 AM,5.757
82,05.01.19 06:12:21 AM,5.86
83,05.01.19 06:27:21 AM,5.962
84,05.01.19 06:42:21 AM,6.674
85,05.01.19 06:57:21 AM,7.782
86,05.01.19 07:12:21 AM,8.68
87,05.01.19 07:27:21 AM,10.063
88,05.01.19 07:42:21 AM,12.594
89,05.01.19 07:57:21 AM,15.091
90,05.01.19 08:12:21 AM,16.903
91,05.01.19 08:27:21 AM,18.806
92,05.01.19 08:42:21 AM,22.621
93,05.01.19 08:57:21 AM,25.125
94,05.01.19 09:12:21 AM,27.173
95,05.01.19 09:27:21 AM,27.862
96,05.01.19 09:42:21 AM,29.552
97,05.01.19 09:57:21 AM,29.252
98,05.01.19 10:12:21 AM,32.394
99,05.01.19 10:27:21 AM,33.743
100,05.01.19 10:42:21 AM,34.585
101,05.01.19 10:57:21 AM,34.479
102,05.01.19 11:12:21 AM,33.848
103,05.01.19 11:27:21 AM,35.649
104,05.01.19 11:42:21 AM,36.946
105,05.01.19 11:57:21 AM,37.274
106,05.01.19 12:12:21 PM,37.714
107,05.01.19 12:27:21 PM,38.268
108,05.01.19 12:42:21 PM,39.05
109,05.01.19 12:57:21 PM,39.502
110,05.01.19 01:12:21 PM,39.163
111,05.01.19 01:27:21 PM,38.714
112,05.01.19 01:42:21 PM,38.714
113,05.01.19 01:57:21 PM,38.49
114,05.01.19 02:12:21 PM,38.379
115,05.01.19 02:27:21 PM,38.157
116,05.01.19 02:42:21 PM,37.055
117,05.01.19 02:57:21 PM,35.864
118,05.01.19 03:12:21 PM,36.295
119,05.01.19 03:27:21 PM,35.115
120,05.01.19 03:42:21 PM,34.163
121,05.01.19 03:57:21 PM,32.704
122,05.01.19 04:12:21 PM,31.88
123,05.01.19 04:27:21 PM,32.497
124,05.01.19 04:42:21 PM,35.542
125,05.01.19 04:57:21 PM,37.055
126,05.01.19 05:12:21 PM,37.604
127,05.01.19 05:27:21 PM,37.274
128,05.01.19 05:42:21 PM,36.728
129,05.01.19 05:57:21 PM,35.542
130,05.01.19 06:12:21 PM,32.704
131,05.01.19 06:27:21 PM,28.159
132,05.01.19 06:42:21 PM,22.333
133,05.01.19 06:57:21 PM,19.282
134,05.01.19 07:12:21 PM,17.95
135,05.01.19 07:27:21 PM,16.903
136,05.01.19 07:42:21 PM,16.046
137,05.01.19 07:57:21 PM,15.282
138,05.01.19 08:12:21 PM,14.613
139,05.01.19 08:27:21 PM,14.038
140,05.01.19 08:42:21 PM,13.558
141,05.01.19 08:57:21 PM,13.269
142,05.01.19 09:12:21 PM,12.883
143,05.01.19 09:27:21 PM,12.401
144,05.01.19 09:42:21 PM,12.11
145,05.01.19 09:57:21 PM,11.819
146,05.01.19 10:12:21 PM,11.528
147,05.01.19 10:27:21 PM,11.139
148,05.01.19 10:42:21 PM,10.944
149,05.01.19 10:57:21 PM,10.651
150,05.01.19 11:12:21 PM,10.553
151,05.01.19 11:27:21 PM,10.357
152,05.01.19 11:42:21 PM,10.259
153,05.01.19 11:57:21 PM,10.063
154,05.02.19 12:12:21 AM,9.866
155,05.02.19 12:27:21 AM,9.669
156,05.02.19 12:42:21 AM,9.571
157,05.02.19 12:57:21 AM,9.472
158,05.02.19 01:12:21 AM,9.373
159,05.02.19 01:27:21 AM,9.275
160,05.02.19 01:42:21 AM,9.077
161,05.02.19 01:57:21 AM,9.077
162,05.02.19 02:12:21 AM,8.879
163,05.02.19 02:27:21 AM,8.68
164,05.02.19 02:42:21 AM,8.581
165,05.02.19 02:57:21 AM,8.581
166,05.02.19 03:12:21 AM,8.481
167,05.02.19 03:27:21 AM,8.182
168,05.02.19 03:42:21 AM,8.082
169,05.02.19 03:57:21 AM,7.782
170,05.02.19 04:12:21 AM,7.682
171,05.02.19 04:27:21 AM,7.582
172,05.02.19 04:42:21 AM,7.882
173,05.02.19 04:57:21 AM,8.182
174,05.02.19 05:12:21 AM,7.983
175,05.02.19 05:27:21 AM,7.682
176,05.02.19 05:42:21 AM,7.582
177,05.02.19 05:57:21 AM,7.682
178,05.02.19 06:12:21 AM,7.682
179,05.02.19 06:27:21 AM,7.782
180,05.02.19 06:42:21 AM,8.182
181,05.02.19 06:57:21 AM,8.382
182,05.02.19 07:12:21 AM,9.669
183,05.02.19 07:27:21 AM,12.304
184,05.02.19 07:42:21 AM,12.304
185,05.02.19 07:57:21 AM,12.497
186,05.02.19 08:12:21 AM,12.883
187,05.02.19 08:27:21 AM,13.269
188,05.02.19 08:42:21 AM,13.365
189,05.02.19 08:57:21 AM,20.424
190,05.02.19 09:12:21 AM,19.948
191,05.02.19 09:27:21 AM,23.388
192,05.02.19 09:42:21 AM,26.292
193,05.02.19 09:57:21 AM,28.258
194,05.02.19 10:12:21 AM,28.258
195,05.02.19 10:27:21 AM,32.6
196,05.02.19 10:42:21 AM,32.394
197,05.02.19 10:57:21 AM,32.911
198,05.02.19 11:12:21 AM,31.574
199,05.02.19 11:27:21 AM,31.676
200,05.02.19 11:42:21 AM,31.676
201,05.02.19 11:57:21 AM,33.743
202,05.02.19 12:12:21 PM,33.953
203,05.02.19 12:27:21 PM,32.394
204,05.02.19 12:42:21 PM,29.752
205,05.02.19 12:57:21 PM,33.639
206,05.02.19 01:12:21 PM,30.356
207,05.02.19 01:27:21 PM,29.252
208,05.02.19 01:42:21 PM,29.352
209,05.02.19 01:57:21 PM,28.754
210,05.02.19 02:12:21 PM,29.953
211,05.02.19 02:27:21 PM,32.6
212,05.02.19 02:42:21 PM,35.864
213,05.02.19 02:57:21 PM,30.659
214,05.02.19 03:12:21 PM,29.552
215,05.02.19 03:27:21 PM,32.291
216,05.02.19 03:42:21 PM,31.983
217,05.02.19 03:57:21 PM,27.961
218,05.02.19 04:12:21 PM,27.173
219,05.02.19 04:27:21 PM,27.075
220,05.02.19 04:42:21 PM,25.61
221,05.02.19 04:57:21 PM,24.158
222,05.02.19 05:12:21 PM,22.525
223,05.02.19 05:27:21 PM,22.046
224,05.02.19 05:42:21 PM,21.187
225,05.02.19 05:57:21 PM,19.282
226,05.02.19 06:12:21 PM,21.378
227,05.02.19 06:27:21 PM,20.901
228,05.02.19 06:42:21 PM,19.092
229,05.02.19 06:57:21 PM,17.76
230,05.02.19 07:12:21 PM,16.999
231,05.02.19 07:27:21 PM,16.046
232,05.02.19 07:42:21 PM,15.187
233,05.02.19 07:57:21 PM,14.613
234,05.02.19 08:12:21 PM,13.558
235,05.02.19 08:27:21 PM,12.401
236,05.02.19 08:42:21 PM,12.013
237,05.02.19 08:57:21 PM,11.916
238,05.02.19 09:12:21 PM,11.722
239,05.02.19 09:27:21 PM,11.819
240,05.02.19 09:42:21 PM,11.819
241,05.02.19 09:57:21 PM,11.722
242,05.02.19 10:12:21 PM,11.819
243,05.02.19 10:27:21 PM,11.819
244,05.02.19 10:42:21 PM,11.722
245,05.02.19 10:57:21 PM,11.722
246,05.02.19 11:12:21 PM,11.819
247,05.02.19 11:27:21 PM,11.625
248,05.02.19 11:42:21 PM,11.431
249,05.02.19 11:57:21 PM,11.334
250,05.03.19 12:12:21 AM,11.334
251,05.03.19 12:27:21 AM,11.139
252,05.03.19 12:42:21 AM,11.041
253,05.03.19 12:57:21 AM,11.041
254,05.03.19 01:12:21 AM,11.139
255,05.03.19 01:27:21 AM,11.139
256,05.03.19 01:42:21 AM,11.041
257,05.03.19 01:57:21 AM,10.944
258,05.03.19 02:12:21 AM,10.651
259,05.03.19 02:27:21 AM,10.259
260,05.03.19 02:42:21 AM,10.063
261,05.03.19 02:57:21 AM,10.553
262,05.03.19 03:12:21 AM,10.553
263,05.03.19 03:27:21 AM,10.357
264,05.03.19 03:42:21 AM,10.259
265,05.03.19 03:57:21 AM,10.357
266,05.03.19 04:12:21 AM,10.455
267,05.03.19 04:27:21 AM,10.357
268,05.03.19 04:42:21 AM,10.357
269,05.03.19 04:57:21 AM,10.357
270,05.03.19 05:12:21 AM,10.455
271,05.03.19 05:27:21 AM,10.455
272,05.03.19 05:42:21 AM,10.357
273,05.03.19 05:57:21 AM,10.357
274,05.03.19 06:12:21 AM,10.259
275,05.03.19 06:27:21 AM,10.357
276,05.03.19 06:42:21 AM,10.259
277,05.03.19 06:57:21 AM,9.866
278,05.03.19 07:12:21 AM,9.472
279,05.03.19 07:27:21 AM,10.455
280,05.03.19 07:42:21 AM,10.846
281,05.03.19 07:57:21 AM,11.334
282,05.03.19 08:12:21 AM,12.11
283,05.03.19 08:27:21 AM,13.461
284,05.03.19 08:42:21 AM,12.98
285,05.03.19 08:57:21 AM,16.618
286,05.03.19 09:12:21 AM,22.333
287,05.03.19 09:27:21 AM,24.158
288,05.03.19 09:42:21 AM,28.159
289,05.03.19 09:57:21 AM,26
290,05.03.19 10:12:21 AM,18.616
291,05.03.19 10:27:21 AM,15.664
292,05.03.19 10:42:21 AM,16.808
293,05.03.19 10:57:21 AM,16.618
294,05.03.19 11:12:21 AM,21.664
295,05.03.19 11:27:21 AM,22.333
296,05.03.19 11:42:21 AM,18.996
297,05.03.19 11:57:21 AM,19.282
298,05.03.19 12:12:21 PM,30.054
299,05.03.19 12:27:21 PM,25.416
300,05.03.19 12:42:21 PM,21.569
301,05.03.19 12:57:21 PM,19.377
302,05.03.19 01:12:21 PM,19.662
303,05.03.19 01:27:21 PM,16.999
304,05.03.19 01:42:21 PM,16.427
305,05.03.19 01:57:21 PM,16.618
306,05.03.19 02:12:21 PM,18.331
307,05.03.19 02:27:21 PM,18.711
308,05.03.19 02:42:21 PM,20.901
309,05.03.19 02:57:21 PM,18.331
310,05.03.19 03:12:21 PM,13.269
311,05.03.19 03:27:21 PM,11.916
312,05.03.19 03:42:21 PM,14.517
313,05.03.19 03:57:21 PM,16.808
314,05.03.19 04:12:21 PM,17.855
315,05.03.19 04:27:21 PM,18.996
316,05.03.19 04:42:21 PM,17.094
317,05.03.19 04:57:21 PM,16.332
318,05.03.19 05:12:21 PM,16.237
319,05.03.19 05:27:21 PM,16.237
320,05.03.19 05:42:21 PM,18.236
321,05.03.19 05:57:21 PM,16.141
322,05.03.19 06:12:21 PM,14.325
323,05.03.19 06:27:21 PM,13.846
324,05.03.19 06:42:21 PM,13.942
325,05.03.19 06:57:21 PM,13.654
326,05.03.19 07:12:21 PM,13.365
327,05.03.19 07:27:21 PM,12.98
328,05.03.19 07:42:21 PM,12.11
329,05.03.19 07:57:21 PM,12.207
330,05.03.19 08:12:21 PM,11.916
331,05.03.19 08:27:21 PM,10.651
332,05.03.19 08:42:21 PM,9.768
333,05.03.19 08:57:21 PM,9.373
334,05.03.19 09:12:21 PM,9.669
335,05.03.19 09:27:21 PM,9.866
336,05.03.19 09:42:21 PM,9.965
337,05.03.19 09:57:21 PM,9.669
338,05.03.19 10:12:21 PM,9.275
339,05.03.19 10:27:21 PM,8.978
340,05.03.19 10:42:21 PM,9.077
341,05.03.19 10:57:21 PM,9.176
342,05.03.19 11:12:21 PM,9.275
343,05.03.19 11:27:21 PM,9.275
344,05.03.19 11:42:21 PM,9.275
345,05.03.19 11:57:21 PM,9.373
346,05.04.19 12:12:21 AM,9.373
347,05.04.19 12:27:21 AM,9.275
348,05.04.19 12:42:21 AM,9.275
349,05.04.19 12:57:21 AM,9.275
350,05.04.19 01:12:21 AM,9.275
351,05.04.19 01:27:21 AM,9.176
352,05.04.19 01:42:21 AM,9.077
353,05.04.19 01:57:21 AM,9.176
354,05.04.19 02:12:21 AM,9.077
355,05.04.19 02:27:21 AM,9.077
356,05.04.19 02:42:21 AM,8.879
357,05.04.19 02:57:21 AM,8.68
358,05.04.19 03:12:21 AM,8.68
359,05.04.19 03:27:21 AM,8.68
360,05.04.19 03:42:21 AM,7.983
361,05.04.19 03:57:21 AM,7.381
362,05.04.19 04:12:21 AM,6.978
363,05.04.19 04:27:21 AM,7.381
364,05.04.19 04:42:21 AM,7.782
365,05.04.19 04:57:21 AM,7.983
366,05.04.19 05:12:21 AM,8.082
367,05.04.19 05:27:21 AM,7.983
368,05.04.19 05:42:21 AM,7.882
369,05.04.19 05:57:21 AM,7.782
370,05.04.19 06:12:21 AM,8.082
371,05.04.19 06:27:21 AM,8.481
372,05.04.19 06:42:21 AM,8.779
373,05.04.19 06:57:21 AM,8.779
374,05.04.19 07:12:21 AM,8.779
375,05.04.19 07:27:21 AM,8.879
376,05.04.19 07:42:21 AM,9.275
377,05.04.19 07:57:21 AM,9.571
378,05.04.19 08:12:21 AM,9.866
379,05.04.19 08:27:21 AM,10.063
380,05.04.19 08:42:21 AM,10.161
381,05.04.19 08:57:21 AM,8.282
382,05.04.19 09:12:21 AM,7.481
383,05.04.19 09:27:21 AM,6.064
384,05.04.19 09:42:21 AM,5.86
385,05.04.19 09:57:21 AM,5.757
386,05.04.19 10:12:21 AM,5.757
387,05.04.19 10:27:21 AM,5.757
388,05.04.19 10:42:21 AM,7.28
389,05.04.19 10:57:21 AM,9.077
390,05.04.19 11:12:21 AM,6.877
391,05.04.19 11:27:21 AM,6.268
392,05.04.19 11:42:21 AM,6.064
393,05.04.19 11:57:21 AM,6.064
394,05.04.19 12:12:21 PM,6.166
395,05.04.19 12:27:21 PM,6.37
396,05.04.19 12:42:21 PM,6.573
397,05.04.19 12:57:21 PM,6.37
398,05.04.19 01:12:21 PM,6.268
399,05.04.19 01:27:21 PM,6.573
400,05.04.19 01:42:21 PM,7.481
401,05.04.19 01:57:21 PM,8.382
402,05.04.19 02:12:21 PM,9.373
403,05.04.19 02:27:21 PM,10.553
404,05.04.19 02:42:21 PM,9.768
405,05.04.19 02:57:21 PM,9.866
406,05.04.19 03:12:21 PM,8.68
407,05.04.19 03:27:21 PM,8.68
408,05.04.19 03:42:21 PM,9.472
409,05.04.19 03:57:21 PM,9.965
410,05.04.19 04:12:21 PM,10.161
411,05.04.19 04:27:21 PM,9.965
412,05.04.19 04:42:21 PM,10.161
413,05.04.19 04:57:21 PM,11.528
414,05.04.19 05:12:21 PM,12.207
415,05.04.19 05:27:21 PM,10.651
416,05.04.19 05:42:21 PM,11.528
417,05.04.19 05:57:21 PM,11.236
418,05.04.19 06:12:21 PM,11.431
419,05.04.19 06:27:21 PM,10.651
420,05.04.19 06:42:21 PM,10.748
421,05.04.19 06:57:21 PM,10.651
422,05.04.19 07:12:21 PM,10.651
423,05.04.19 07:27:21 PM,10.455
424,05.04.19 07:42:21 PM,9.571
425,05.04.19 07:57:21 PM,8.581
426,05.04.19 08:12:21 PM,7.582
427,05.04.19 08:27:21 PM,6.37
428,05.04.19 08:42:21 PM,5.45
429,05.04.19 08:57:21 PM,4.831
430,05.04.19 09:12:21 PM,4.519
431,05.04.19 09:27:21 PM,4.102
432,05.04.19 09:42:21 PM,3.893
433,05.04.19 09:57:21 PM,3.788
434,05.04.19 10:12:21 PM,3.998
435,05.04.19 10:27:21 PM,4.207
436,05.04.19 10:42:21 PM,4.207
437,05.04.19 10:57:21 PM,3.893
438,05.04.19 11:12:21 PM,3.683
439,05.04.19 11:27:21 PM,3.893
440,05.04.19 11:42:21 PM,4.207
441,05.04.19 11:57:21 PM,4.519
442,05.05.19 12:12:21 AM,3.683
443,05.05.19 12:27:21 AM,3.367
444,05.05.19 12:42:21 AM,2.837
445,05.05.19 12:57:21 AM,2.517
446,05.05.19 01:12:21 AM,2.41
447,05.05.19 01:27:21 AM,2.41
448,05.05.19 01:42:21 AM,2.624
449,05.05.19 01:57:21 AM,2.73
450,05.05.19 02:12:21 AM,2.837
451,05.05.19 02:27:21 AM,3.261
452,05.05.19 02:42:21 AM,3.155
453,05.05.19 02:57:21 AM,2.943
454,05.05.19 03:12:21 AM,2.517
455,05.05.19 03:27:21 AM,2.41
456,05.05.19 03:42:21 AM,2.303
457,05.05.19 03:57:21 AM,2.303
458,05.05.19 04:12:21 AM,2.624
459,05.05.19 04:27:21 AM,2.624
460,05.05.19 04:42:21 AM,2.517
461,05.05.19 04:57:21 AM,2.41
462,05.05.19 05:12:21 AM,2.303
463,05.05.19 05:27:21 AM,2.195
464,05.05.19 05:42:21 AM,2.303
465,05.05.19 05:57:21 AM,2.624
466,05.05.19 06:12:21 AM,3.049
467,05.05.19 06:27:21 AM,3.578
468,05.05.19 06:42:21 AM,4.102
469,05.05.19 06:57:21 AM,5.86
470,05.05.19 07:12:21 AM,6.37
471,05.05.19 07:27:21 AM,7.481
472,05.05.19 07:42:21 AM,10.944
473,05.05.19 07:57:21 AM,13.558
474,05.05.19 08:12:21 AM,15.569
475,05.05.19 08:27:21 AM,17.475
476,05.05.19 08:42:21 AM,19.187
477,05.05.19 08:57:21 AM,21.378
478,05.05.19 09:12:21 AM,21.378
479,05.05.19 09:27:21 AM,21.091
480,05.05.19 09:42:21 AM,18.045
481,05.05.19 09:57:21 AM,17.379
482,05.05.19 10:12:21 AM,26.879
483,05.05.19 10:27:21 AM,27.862
484,05.05.19 10:42:21 AM,25.416
485,05.05.19 10:57:21 AM,28.655
486,05.05.19 11:12:21 AM,21.855
487,05.05.19 11:27:21 AM,19.282
488,05.05.19 11:42:21 AM,27.567
489,05.05.19 11:57:21 AM,18.236
490,05.05.19 12:12:21 PM,15.378
491,05.05.19 12:27:21 PM,16.427
492,05.05.19 12:42:21 PM,15.569
493,05.05.19 12:57:21 PM,21.282
494,05.05.19 01:12:21 PM,15.187
495,05.05.19 01:27:21 PM,14.23
496,05.05.19 01:42:21 PM,15.187
497,05.05.19 01:57:21 PM,14.325
498,05.05.19 02:12:21 PM,15.951
499,05.05.19 02:27:21 PM,13.076
500,05.05.19 02:42:21 PM,8.879
501,05.05.19 02:57:21 PM,13.269
502,05.05.19 03:12:21 PM,15.091
503,05.05.19 03:27:21 PM,15.378
504,05.05.19 03:42:21 PM,17.855
505,05.05.19 03:57:21 PM,18.901
506,05.05.19 04:12:21 PM,16.713
507,05.05.19 04:27:21 PM,16.427
508,05.05.19 04:42:21 PM,18.806
509,05.05.19 04:57:21 PM,14.709
510,05.05.19 05:12:21 PM,13.942
511,05.05.19 05:27:21 PM,12.98
512,05.05.19 05:42:21 PM,12.594
513,05.05.19 05:57:21 PM,18.901
514,05.05.19 06:12:21 PM,15.664
515,05.05.19 06:27:21 PM,13.365
516,05.05.19 06:42:21 PM,12.401
517,05.05.19 06:57:21 PM,11.431
518,05.05.19 07:12:21 PM,10.944
519,05.05.19 07:27:21 PM,10.748
520,05.05.19 07:42:21 PM,11.041
521,05.05.19 07:57:21 PM,10.553
522,05.05.19 08:12:21 PM,9.275
523,05.05.19 08:27:21 PM,8.779
524,05.05.19 08:42:21 PM,7.582
525,05.05.19 08:57:21 PM,6.978
526,05.05.19 09:12:21 PM,6.37
527,05.05.19 09:27:21 PM,6.471
528,05.05.19 09:42:21 PM,6.775
529,05.05.19 09:57:21 PM,6.978
530,05.05.19 10:12:21 PM,6.877
531,05.05.19 10:27:21 PM,6.877
532,05.05.19 10:42:21 PM,6.37
533,05.05.19 10:57:21 PM,6.37
534,05.05.19 11:12:21 PM,6.37
535,05.05.19 11:27:21 PM,6.268
536,05.05.19 11:42:21 PM,6.064
537,05.05.19 11:57:21 PM,5.962
538,05.06.19 12:12:21 AM,5.757
539,05.06.19 12:27:21 AM,5.655
540,05.06.19 12:42:21 AM,5.552
541,05.06.19 12:57:21 AM,5.757
542,05.06.19 01:12:21 AM,5.86
543,05.06.19 01:27:21 AM,5.86
544,05.06.19 01:42:21 AM,5.757
545,05.06.19 01:57:21 AM,5.655
546,05.06.19 02:12:21 AM,5.655
547,05.06.19 02:27:21 AM,5.655
548,05.06.19 02:42:21 AM,5.655
549,05.06.19 02:57:21 AM,5.757
550,05.06.19 03:12:21 AM,5.86
