Anz.,Datum Zeit,Temp
1,04.30.19 10:10:28 AM,23.292
2,04.30.19 10:10:34 AM,
3,04.30.19 10:25:28 AM,23.292
4,04.30.19 10:40:28 AM,22.429
5,04.30.19 10:55:28 AM,22.429
6,04.30.19 11:10:28 AM,18.045
7,04.30.19 11:25:28 AM,15.664
8,04.30.19 11:40:28 AM,16.046
9,04.30.19 11:55:28 AM,15.951
10,04.30.19 12:10:28 PM,17.094
11,04.30.19 12:25:28 PM,17.95
12,04.30.19 12:40:28 PM,19.662
13,04.30.19 12:55:28 PM,20.71
14,04.30.19 01:10:28 PM,21.664
15,04.30.19 01:25:28 PM,22.812
16,04.30.19 01:40:28 PM,22.908
17,04.30.19 01:55:28 PM,23.581
18,04.30.19 02:10:28 PM,23.388
19,04.30.19 02:25:28 PM,22.142
20,04.30.19 02:40:28 PM,21.569
21,04.30.19 02:55:28 PM,22.046
22,04.30.19 03:10:28 PM,22.621
23,04.30.19 03:25:28 PM,22.238
24,04.30.19 03:40:28 PM,22.812
25,04.30.19 03:55:28 PM,23.388
26,04.30.19 04:10:28 PM,28.06
27,04.30.19 04:25:28 PM,30.356
28,04.30.19 04:40:28 PM,29.552
29,04.30.19 04:55:28 PM,30.659
30,04.30.19 05:10:28 PM,30.356
31,04.30.19 05:25:28 PM,29.053
32,04.30.19 05:40:28 PM,27.173
33,04.30.19 05:55:28 PM,27.272
34,04.30.19 06:10:28 PM,26.097
35,04.30.19 06:25:28 PM,24.738
36,04.30.19 06:40:28 PM,24.158
37,04.30.19 06:55:28 PM,23.581
38,04.30.19 07:10:28 PM,21.473
39,04.30.19 07:25:28 PM,18.331
40,04.30.19 07:40:28 PM,16.999
41,04.30.19 07:55:28 PM,16.237
42,04.30.19 08:10:28 PM,15.569
43,04.30.19 08:25:28 PM,15.091
44,04.30.19 08:40:28 PM,14.804
45,04.30.19 08:55:28 PM,14.421
46,04.30.19 09:10:28 PM,13.846
47,04.30.19 09:25:28 PM,13.269
48,04.30.19 09:40:28 PM,12.883
49,04.30.19 09:55:28 PM,12.497
50,04.30.19 10:10:28 PM,12.11
51,04.30.19 10:25:28 PM,12.207
52,04.30.19 10:40:28 PM,12.304
53,04.30.19 10:55:28 PM,12.207
54,04.30.19 11:10:28 PM,11.916
55,04.30.19 11:25:28 PM,11.431
56,04.30.19 11:40:28 PM,11.041
57,04.30.19 11:55:28 PM,10.553
58,05.01.19 12:10:28 AM,10.455
59,05.01.19 12:25:28 AM,10.553
60,05.01.19 12:40:28 AM,10.553
61,05.01.19 12:55:28 AM,10.455
62,05.01.19 01:10:28 AM,10.161
63,05.01.19 01:25:28 AM,9.965
64,05.01.19 01:40:28 AM,9.768
65,05.01.19 01:55:28 AM,9.472
66,05.01.19 02:10:28 AM,9.275
67,05.01.19 02:25:28 AM,9.077
68,05.01.19 02:40:28 AM,8.879
69,05.01.19 02:55:28 AM,8.68
70,05.01.19 03:10:28 AM,8.481
71,05.01.19 03:25:28 AM,8.382
72,05.01.19 03:40:28 AM,8.282
73,05.01.19 03:55:28 AM,8.182
74,05.01.19 04:10:28 AM,8.082
75,05.01.19 04:25:28 AM,7.882
76,05.01.19 04:40:28 AM,7.782
77,05.01.19 04:55:28 AM,7.582
78,05.01.19 05:10:28 AM,7.481
79,05.01.19 05:25:28 AM,7.381
80,05.01.19 05:40:28 AM,7.381
81,05.01.19 05:55:28 AM,7.28
82,05.01.19 06:10:28 AM,7.179
83,05.01.19 06:25:28 AM,7.179
84,05.01.19 06:40:28 AM,7.582
85,05.01.19 06:55:28 AM,8.382
86,05.01.19 07:10:28 AM,9.176
87,05.01.19 07:25:28 AM,9.965
88,05.01.19 07:40:28 AM,10.944
89,05.01.19 07:55:28 AM,12.013
90,05.01.19 08:10:28 AM,13.173
91,05.01.19 08:25:28 AM,14.038
92,05.01.19 08:40:28 AM,15.951
93,05.01.19 08:55:28 AM,17.189
94,05.01.19 09:10:28 AM,18.14
95,05.01.19 09:25:28 AM,18.996
96,05.01.19 09:40:28 AM,19.948
97,05.01.19 09:55:28 AM,20.805
98,05.01.19 10:10:28 AM,21.855
99,05.01.19 10:25:28 AM,21.187
100,05.01.19 10:40:28 AM,21.091
101,05.01.19 10:55:28 AM,21.282
102,05.01.19 11:10:28 AM,20.901
103,05.01.19 11:25:28 AM,20.996
104,05.01.19 11:40:28 AM,21.187
105,05.01.19 11:55:28 AM,21.378
106,05.01.19 12:10:28 PM,21.855
107,05.01.19 12:25:28 PM,22.908
108,05.01.19 12:40:28 PM,24.158
109,05.01.19 12:55:28 PM,25.902
110,05.01.19 01:10:28 PM,26.39
111,05.01.19 01:25:28 PM,26.39
112,05.01.19 01:40:28 PM,26.585
113,05.01.19 01:55:28 PM,26.781
114,05.01.19 02:10:28 PM,27.665
115,05.01.19 02:25:28 PM,26.879
116,05.01.19 02:40:28 PM,26.195
117,05.01.19 02:55:28 PM,25.902
118,05.01.19 03:10:28 PM,26.879
119,05.01.19 03:25:28 PM,26.683
120,05.01.19 03:40:28 PM,26.683
121,05.01.19 03:55:28 PM,27.567
122,05.01.19 04:10:28 PM,32.291
123,05.01.19 04:25:28 PM,35.328
124,05.01.19 04:40:28 PM,35.435
125,05.01.19 04:55:28 PM,35.542
126,05.01.19 05:10:28 PM,35.328
127,05.01.19 05:25:28 PM,35.115
128,05.01.19 05:40:28 PM,34.268
129,05.01.19 05:55:28 PM,33.326
