Anz.,Datum Zeit,Temp
1,04.30.19 10:10:05 AM,23.966
2,04.30.19 10:10:09 AM,
3,04.30.19 10:25:05 AM,23.484
4,04.30.19 10:40:05 AM,23.004
5,04.30.19 10:55:05 AM,22.812
6,04.30.19 11:10:05 AM,19.662
7,04.30.19 11:25:05 AM,17.76
8,04.30.19 11:40:05 AM,18.996
9,04.30.19 11:55:05 AM,19.187
10,04.30.19 12:10:05 PM,21.282
11,04.30.19 12:25:05 PM,22.621
12,04.30.19 12:40:05 PM,26.585
13,04.30.19 12:55:05 PM,27.961
14,04.30.19 01:10:05 PM,26.977
15,04.30.19 01:25:05 PM,29.152
16,04.30.19 01:40:05 PM,28.357
17,04.30.19 01:55:05 PM,28.555
18,04.30.19 02:10:05 PM,27.173
19,04.30.19 02:25:05 PM,25.513
20,04.30.19 02:40:05 PM,26.488
21,04.30.19 02:55:05 PM,28.953
22,04.30.19 03:10:05 PM,30.558
23,04.30.19 03:25:05 PM,32.6
24,04.30.19 03:40:05 PM,34.163
25,04.30.19 03:55:05 PM,34.479
26,04.30.19 04:10:05 PM,35.328
27,04.30.19 04:25:05 PM,37.055
28,04.30.19 04:40:05 PM,35.971
29,04.30.19 04:55:05 PM,36.62
30,04.30.19 05:10:05 PM,36.728
31,04.30.19 05:25:05 PM,33.848
32,04.30.19 05:40:05 PM,33.953
33,04.30.19 05:55:05 PM,33.848
34,04.30.19 06:10:05 PM,31.574
35,04.30.19 06:25:05 PM,29.552
36,04.30.19 06:40:05 PM,28.159
37,04.30.19 06:55:05 PM,27.468
38,04.30.19 07:10:05 PM,21.091
39,04.30.19 07:25:05 PM,17.855
40,04.30.19 07:40:05 PM,16.427
41,04.30.19 07:55:05 PM,15.473
42,04.30.19 08:10:05 PM,14.613
43,04.30.19 08:25:05 PM,13.846
44,04.30.19 08:40:05 PM,12.98
45,04.30.19 08:55:05 PM,12.304
46,04.30.19 09:10:05 PM,11.625
47,04.30.19 09:25:05 PM,11.041
48,04.30.19 09:40:05 PM,10.553
49,04.30.19 09:55:05 PM,10.259
50,04.30.19 10:10:05 PM,9.965
51,04.30.19 10:25:05 PM,10.455
52,04.30.19 10:40:05 PM,10.651
53,04.30.19 10:55:05 PM,10.651
54,04.30.19 11:10:05 PM,10.357
55,04.30.19 11:25:05 PM,9.768
56,04.30.19 11:40:05 PM,9.176
57,04.30.19 11:55:05 PM,8.779
58,05.01.19 12:10:05 AM,8.581
59,05.01.19 12:25:05 AM,8.779
60,05.01.19 12:40:05 AM,9.077
61,05.01.19 12:55:05 AM,8.978
62,05.01.19 01:10:05 AM,8.68
63,05.01.19 01:25:05 AM,8.481
64,05.01.19 01:40:05 AM,8.282
65,05.01.19 01:55:05 AM,7.983
66,05.01.19 02:10:05 AM,7.782
67,05.01.19 02:25:05 AM,7.481
68,05.01.19 02:40:05 AM,7.28
69,05.01.19 02:55:05 AM,7.179
70,05.01.19 03:10:05 AM,6.978
71,05.01.19 03:25:05 AM,6.775
72,05.01.19 03:40:05 AM,6.674
73,05.01.19 03:55:05 AM,6.573
74,05.01.19 04:10:05 AM,6.471
75,05.01.19 04:25:05 AM,6.268
76,05.01.19 04:40:05 AM,6.268
77,05.01.19 04:55:05 AM,5.962
78,05.01.19 05:10:05 AM,5.86
79,05.01.19 05:25:05 AM,5.86
80,05.01.19 05:40:05 AM,5.757
81,05.01.19 05:55:05 AM,5.757
82,05.01.19 06:10:05 AM,5.655
83,05.01.19 06:25:05 AM,5.757
84,05.01.19 06:40:05 AM,5.962
85,05.01.19 06:55:05 AM,7.179
