"site","stream","pos_ord","position","trap","time","season","collection_days","area_trap","order","number_sample","biomass_sample","biomass_area_day_mg","number_area_day","day"
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-03-22,"spring",4,0.25,"Diptera",1,0.2413,0.2413,1,81
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-03-26,"spring",4,0.25,"Diptera",6,0.7413,0.7413,6,85
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-03-29,"spring",3,0.25,"Diptera",4,0.4728,0.6304,5.33333333333333,88
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-04-03,"spring",5,0.25,"Diptera",7,0.6219,0.49752,5.6,93
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-04-06,"spring",3,0.25,"Diptera",1,0.0867,0.1156,1.33333333333333,96
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-04-09,"spring",3,0.25,"Diptera",6,0.4516,0.602133333333333,8,99
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-04-12,"spring",3,0.25,"Diptera",7,10.7325,14.31,9.33333333333333,102
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-04-16,"spring",4,0.25,"Diptera",11,7.6346,7.6346,11,106
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-04-19,"spring",3,0.25,"Diptera",22,4.7429,6.32386666666667,29.3333333333333,109
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-04-23,"spring",4,0.25,"Diptera",12,0.763,0.763,12,113
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-04-26,"spring",3,0.25,"Diptera",2,0.4425,0.59,2.66666666666667,116
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-04-30,"spring",4,0.25,"Diptera",3,0.1732,0.1732,3,120
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-05-03,"spring",3,0.25,"Diptera",6,0.1463,0.195066666666667,8,123
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-05-07,"spring",4,0.25,"Diptera",4,0.9066,0.9066,4,127
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-05-10,"spring",3,0.25,"Diptera",12,33.443,44.5906666666667,16,130
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-05-14,"spring",4,0.25,"Diptera",6,4.1944,4.1944,6,134
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-05-22,"summer",5,0.25,"Diptera",1,0.0347,0.02776,0.8,142
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-05-24,"summer",2,0.25,"Diptera",1,0.2191,0.4382,2,144
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-05-28,"summer",4,0.25,"Diptera",8,0.2288,0.2288,8,148
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-05-30,"summer",2,0.25,"Diptera",6,0.4447,0.8894,12,150
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-06-04,"summer",5,0.25,"Diptera",7,0.2497,0.19976,5.6,155
"Dierbach_forest","Dierbach","forest_Diptera","forest",1,2018-06-08,"summer",4,0.25,"Diptera",7,0.3948,0.3948,7,159
