"site","stream","position","trap","time","season","collection_days","area_trap","biomass_sample","number_sample","biomass_area_day_mg","number_area_day","day"
"Dierbach_forest","Dierbach","forest",1,2018-03-22,"spring",4,0.25,0.2413,1,0.2413,1,81
"Dierbach_forest","Dierbach","forest",1,2018-03-26,"spring",4,0.25,0.7413,6,0.7413,6,85
"Dierbach_forest","Dierbach","forest",1,2018-03-29,"spring",3,0.25,0.4728,4,0.6304,5.33333333333333,88
"Dierbach_forest","Dierbach","forest",1,2018-04-03,"spring",5,0.25,0.6219,7,0.49752,5.6,93
"Dierbach_forest","Dierbach","forest",1,2018-04-06,"spring",3,0.25,5.529,3,7.372,4,96
"Dierbach_forest","Dierbach","forest",1,2018-04-09,"spring",3,0.25,0.4516,6,0.602133333333333,8,99
"Dierbach_forest","Dierbach","forest",1,2018-04-12,"spring",3,0.25,13.8635,13,18.4846666666667,17.3333333333333,102
"Dierbach_forest","Dierbach","forest",1,2018-04-16,"spring",4,0.25,8.4821,12,8.4821,12,106
"Dierbach_forest","Dierbach","forest",1,2018-04-19,"spring",3,0.25,14.4251,34,19.2334666666667,45.3333333333333,109
"Dierbach_forest","Dierbach","forest",1,2018-04-23,"spring",4,0.25,0.763,12,0.763,12,113
"Dierbach_forest","Dierbach","forest",1,2018-04-26,"spring",3,0.25,0.4425,2,0.59,2.66666666666667,116
"Dierbach_forest","Dierbach","forest",1,2018-04-30,"spring",4,0.25,0.1732,3,0.1732,3,120
"Dierbach_forest","Dierbach","forest",1,2018-05-03,"spring",3,0.25,0.1463,6,0.195066666666667,8,123
"Dierbach_forest","Dierbach","forest",1,2018-05-07,"spring",4,0.25,2.1469,5,2.1469,5,127
"Dierbach_forest","Dierbach","forest",1,2018-05-10,"spring",3,0.25,34.6205,14,46.1606666666667,18.6666666666667,130
"Dierbach_forest","Dierbach","forest",1,2018-05-14,"spring",4,0.25,4.1944,6,4.1944,6,134
"Dierbach_forest","Dierbach","forest",1,2018-05-22,"summer",5,0.25,0.7882,2,0.63056,1.6,142
"Dierbach_forest","Dierbach","forest",1,2018-05-24,"summer",2,0.25,2.3024,2,4.6048,4,144
"Dierbach_forest","Dierbach","forest",1,2018-05-28,"summer",4,0.25,0.2288,8,0.2288,8,148
"Dierbach_forest","Dierbach","forest",1,2018-05-30,"summer",2,0.25,1.1167,7,2.2334,14,150
"Dierbach_forest","Dierbach","forest",1,2018-06-04,"summer",5,0.25,0.2497,7,0.19976,5.6,155
"Dierbach_forest","Dierbach","forest",1,2018-06-08,"summer",4,0.25,0.3948,7,0.3948,7,159
"Dierbach_forest","Dierbach","forest",1,2018-06-18,"summer",4,0.25,0.2708,11,0.2708,11,169
"Dierbach_forest","Dierbach","forest",1,2018-06-21,"summer",3,0.25,0.1132,4,0.150933333333333,5.33333333333333,172
"Dierbach_forest","Dierbach","forest",1,2018-06-25,"summer",4,0.25,5.1735,30,5.1735,30,176
"Dierbach_forest","Dierbach","forest",1,2018-06-28,"summer",3,0.25,0.7268,19,0.969066666666667,25.3333333333333,179
"Dierbach_forest","Dierbach","forest",1,2018-07-02,"summer",4,0.25,10.433,45,10.433,45,183
"Dierbach_forest","Dierbach","forest",1,2018-07-05,"summer",3,0.25,5.4627,35,7.2836,46.6666666666667,186
"Dierbach_forest","Dierbach","forest",1,2018-07-09,"summer",4,0.25,0.8358,9,0.8358,9,190
"Dierbach_forest","Dierbach","forest",1,2018-07-12,"summer",3,0.25,2.8304,19,3.77386666666667,25.3333333333333,193
"Dierbach_forest","Dierbach","forest",1,2018-07-16,"summer",4,0.25,7.6677,9,7.6677,9,197
"Dierbach_forest","Dierbach","forest",1,2018-07-19,"summer",3,0.25,0.7103,5,0.947066666666667,6.66666666666667,200
"Dierbach_forest","Dierbach","forest",1,2018-07-23,"summer",4,0.25,0.055,3,0.055,3,204
"Dierbach_forest","Dierbach","forest",1,2018-07-26,"summer",3,0.25,0.0109,8,0.0145333333333333,10.6666666666667,207
"Dierbach_forest","Dierbach","forest",1,2018-07-30,"autumn",4,0.25,2.72,27,2.72,27,211
"Dierbach_forest","Dierbach","forest",1,2018-08-01,"autumn",2,0.25,0.6427,10,1.2854,20,213
"Dierbach_forest","Dierbach","forest",1,2018-08-06,"autumn",5,0.25,2.0473,20,1.63784,16,218
"Dierbach_forest","Dierbach","forest",1,2018-08-09,"autumn",3,0.25,0.9397,16,1.25293333333333,21.3333333333333,221
"Dierbach_forest","Dierbach","forest",1,2018-08-13,"autumn",4,0.25,8.1813,24,8.1813,24,225
"Dierbach_forest","Dierbach","forest",1,2018-08-16,"autumn",3,0.25,0.1347,6,0.1796,8,228
"Dierbach_forest","Dierbach","forest",1,2018-08-20,"autumn",4,0.25,3.3186,26,3.3186,26,232
"Dierbach_forest","Dierbach","forest",1,2018-08-22,"autumn",2,0.25,0.0022,3,0.0044,6,234
