"stream","position","not_sensitive","sensitive","large","medium","small"
"Dierbach","forest",0.326250937043136,0.673749062956864,0.293247047542111,0.326446164667189,0.380306787790699
"Dierbach","vine",0.781258583502601,0.218741416497399,0.191727346564598,0.294987216324378,0.513285437111024
"Hainbach","forest",0.293518697933668,0.706481302066333,0.0576204319808901,0.171593593299363,0.770785974719747
"Hainbach","vine",0.418898378368306,0.581101621631694,0.139893405190617,0.323834236984326,0.536272357825057
"Isenach","forest",0.159404035631167,0.840595964368833,0.183526218882364,0.283339009029195,0.533134772088441
"Isenach","vine",0.76484197442156,0.23515802557844,0.188940559584241,0.305410800697139,0.50564863971862
"Kaiserbach","forest",0.163613704928794,0.836386295071206,0.0543689831031477,0.0840692842578737,0.861561732638979
"Kaiserbach","vine",0.181811643320437,0.818188356679562,0.160423700807205,0.421221728224034,0.418354570968761
"Klingbach","forest",0.361093153426321,0.638906846573678,0.194044775131223,0.400656096962932,0.405299127905845
"Klingbach","vine",0.151395018941911,0.84860498105809,0.144626871095447,0.360391385171491,0.494981743733062
"Kropsbach","forest",0.261858972863178,0.738141027136822,0.199603524439645,0.385310352223289,0.415086123337066
"Kropsbach","vine",0.261217312309,0.738782687691001,0.192159898005264,0.476598313402474,0.331241788592262
"Modenbach","forest",0.0516772263731114,0.948322773626889,0.144579921694155,0.439460699016393,0.415959379289452
"Modenbach","vine",0.0878220659992114,0.912177934000789,0.159619064956193,0.494078753409212,0.346302181634594
"Otterbach","forest",0.292165465446695,0.707834534553305,0.0690797244822185,0.160149255766083,0.770771019751698
"Otterbach","vine",0.328477250369531,0.67152274963047,0.104782034063742,0.155903172821918,0.73931479311434
"Russbach","forest",0.201894917642976,0.798105082357024,0.346969994869957,0.261219512918424,0.391810492211618
"Russbach","vine",0.513610182033392,0.486389817966608,0.154796153881224,0.20574925733226,0.639454588786517
"Triefenbach","forest",0.342021688993278,0.657978311006722,0.141899523783338,0.435189587150932,0.42291088906573
"Triefenbach","vine",0.454615519512921,0.545384480487079,0.124754265214568,0.324641605871802,0.55060412891363
